MAE,MSE,RMSE,MAPE,R2,Building,Sparsity,Method,Epochs,Building_Type
0.012076635,0.0001461158,0.012087837,0.0120766349136829,0.0,Bobcat_warehouse_Charlie_start4000_2160,20,diffts-fft,5,Warehouse
0.01372661,0.00018853716,0.013730884,0.0137266097590327,0.0,Bobcat_warehouse_Charlie_start4000_2160,30,diffts-fft,5,Warehouse
0.014053855,0.00020033978,0.014154144,0.0140538550913333,0.0,Bobcat_warehouse_Charlie_start4000_2160,40,diffts-fft,5,Warehouse
0.013184254,0.00017388478,0.013186538,0.0131842540577054,0.0,Bobcat_warehouse_Charlie_start4000_2160,50,diffts-fft,5,Warehouse
0.011690621,0.00013769483,0.011734344,0.0116906212642788,0.0,Bobcat_warehouse_Charlie_start4000_2160,70,diffts-fft,5,Warehouse
0.011768059,0.00013871862,0.011777887,0.011768058873713,0.0,Bobcat_warehouse_Charlie_start4000_2160,80,diffts-fft,5,Warehouse
0.012904031,0.00016739212,0.0129380105,0.012904031202197,0.0,Bobcat_warehouse_Charlie_start4000_2160,90,diffts-fft,5,Warehouse
0.011616381,0.00013591413,0.0116582215,0.0116163808852434,0.0,Bobcat_warehouse_Charlie_start8000_2160,20,diffts-fft,5,Warehouse
0.010935254,0.00012057588,0.010980705,0.010935254395008,0.0,Bobcat_warehouse_Charlie_start8000_2160,30,diffts-fft,5,Warehouse
0.0102122,0.00010481783,0.010238058,0.0102121997624635,0.0,Bobcat_warehouse_Charlie_start8000_2160,40,diffts-fft,5,Warehouse
0.011531883,0.00013338792,0.0115493685,0.0115318829193711,0.0,Bobcat_warehouse_Charlie_start8000_2160,50,diffts-fft,5,Warehouse
0.011430804,0.00013099883,0.011445472,0.0114308036863803,0.0,Bobcat_warehouse_Charlie_start8000_2160,70,diffts-fft,5,Warehouse
0.011220292,0.00012612165,0.01123039,0.0112202921882271,0.0,Bobcat_warehouse_Charlie_start8000_2160,80,diffts-fft,5,Warehouse
0.011010897,0.00012202752,0.011046607,0.0110108973458409,0.0,Bobcat_warehouse_Charlie_start8000_2160,90,diffts-fft,5,Warehouse
0.05898919,0.010776532,0.10381008,133.5393190383911,0.7646918113591179,Cockatoo_assembly_Valencia_start0_2160,20,diffts-fft,5,Assembly
0.1835991,0.04223716,0.20551682,159.8440647125244,-0.0652079029081242,Cockatoo_assembly_Valencia_start0_2160,30,diffts-fft,5,Assembly
0.07037792,0.0154639855,0.12435427,122.53482341766356,0.7166786065421917,Cockatoo_assembly_Valencia_start0_2160,40,diffts-fft,5,Assembly
0.07115333,0.009226732,0.09605588,111.72919273376463,0.7987008842290493,Cockatoo_assembly_Valencia_start0_2160,50,diffts-fft,5,Assembly
0.05151219,0.009593797,0.09794793,161.62525415420532,0.8646644394823402,Cockatoo_assembly_Valencia_start0_2160,70,diffts-fft,5,Assembly
0.084938355,0.018279206,0.13520062,137.80919313430786,0.6756591636658706,Cockatoo_assembly_Valencia_start0_2160,80,diffts-fft,5,Assembly
0.14419036,0.034695596,0.18626754,568.9558506011963,0.690017696764628,Cockatoo_assembly_Valencia_start0_2160,90,diffts-fft,5,Assembly
0.105884686,0.019102873,0.13821314,40.44917225837708,0.4437559704078521,Cockatoo_assembly_Valencia_start8000_2160,20,diffts-fft,5,Assembly
0.10406401,0.019022573,0.13792235,44.44056749343872,0.4271425269058108,Cockatoo_assembly_Valencia_start8000_2160,30,diffts-fft,5,Assembly
0.09931333,0.01748047,0.13221373,40.75096845626831,0.4899904412135859,Cockatoo_assembly_Valencia_start8000_2160,40,diffts-fft,5,Assembly
0.09663987,0.016020956,0.12657392,35.96075773239136,0.5328041357898694,Cockatoo_assembly_Valencia_start8000_2160,50,diffts-fft,5,Assembly
0.11842925,0.022923358,0.15140462,36.17844879627228,0.3763425418351567,Cockatoo_assembly_Valencia_start8000_2160,70,diffts-fft,5,Assembly
0.09915512,0.01836636,0.13552254,59.23985838890076,0.443255239195209,Cockatoo_assembly_Valencia_start8000_2160,80,diffts-fft,5,Assembly
0.09892215,0.016225938,0.12738107,25.92182755470276,0.4787259791135636,Cockatoo_assembly_Valencia_start8000_2160,90,diffts-fft,5,Assembly
0.04278134,0.0072602825,0.08520729,64.71174955368042,0.8079077860499607,Cockatoo_industrial_Nathaniel_start0_2160,20,diffts-fft,5,Industrial
0.24453793,0.06959709,0.2638126,99.0029513835907,-0.0252594145263063,Cockatoo_industrial_Nathaniel_start0_2160,30,diffts-fft,5,Industrial
0.07799342,0.018415108,0.13570228,191.03442430496216,0.8282950846541586,Cockatoo_industrial_Nathaniel_start0_2160,40,diffts-fft,5,Industrial
