MAE,MSE,RMSE,MAPE,R2,Building,Sparsity,Method,Epochs
0.001192079042084515,2.320135990885319e-06,0.001523199261713752,0.001192079042084515,0.0,Bobcat_warehouse_Charlie_start4000_2160,20,oridata,2
0.0011362349614501,2.070446043944685e-06,0.00143890445963055,0.0011362349614501,0.0,Bobcat_warehouse_Charlie_start4000_2160,20,wgan,2
0.014796063303947449,0.00022268161410465837,0.014922520367037813,0.014796063303947449,0.0,Bobcat_warehouse_Charlie_start4000_2160,20,diffts,2
0.012230006977915764,0.00014978490071371198,0.012238664171947524,0.012230006977915764,0.0,Bobcat_warehouse_Charlie_start4000_2160,20,diffts-fft,5
0.00023086809960659593,8.97000802524417e-08,0.00029949971661496057,0.00023086809960659593,0.0,Bobcat_warehouse_Charlie_start4000_2160,20,timegan,2
0.0022351692896336317,8.327377145178616e-06,0.0028857195194922558,0.0022351692896336317,0.0,Bobcat_warehouse_Charlie_start4000_2160,20,cgan,2
0.006781092379242182,6.076726276660338e-05,0.007795335962394654,0.006781092379242182,0.0,Bobcat_warehouse_Charlie_start4000_2160,30,oridata,2
0.004336941987276077,2.7533218599273823e-05,0.005247210554120525,0.004336941987276077,0.0,Bobcat_warehouse_Charlie_start4000_2160,30,wgan,2
0.014541526325047016,0.00021241046488285065,0.014574308384374561,0.014541526325047016,0.0,Bobcat_warehouse_Charlie_start4000_2160,30,diffts,2
0.013631734997034073,0.00018618430476635695,0.013644936964543183,0.013631734997034073,0.0,Bobcat_warehouse_Charlie_start4000_2160,30,diffts-fft,5
0.00028920918703079224,1.575716339630162e-07,0.0003969529367104068,0.00028920918703079224,0.0,Bobcat_warehouse_Charlie_start4000_2160,30,timegan,2
0.0010425971122458577,1.5063280898175435e-06,0.001227325584275641,0.0010425971122458577,0.0,Bobcat_warehouse_Charlie_start4000_2160,30,cgan,2
0.0011729213874787092,1.8934977106255246e-06,0.0013760442255340215,0.0011729213874787092,0.0,Bobcat_warehouse_Charlie_start4000_2160,40,oridata,2
0.00026617824914865196,1.117702765895956e-07,0.0003343206194502451,0.00026617824914865196,0.0,Bobcat_warehouse_Charlie_start4000_2160,40,wgan,2
0.014428839087486267,0.00021887155889999121,0.014794308327866877,0.014428839087486267,0.0,Bobcat_warehouse_Charlie_start4000_2160,40,diffts,2
0.013675868511199951,0.000188738209544681,0.013738202558729472,0.013675868511199951,0.0,Bobcat_warehouse_Charlie_start4000_2160,40,diffts-fft,5
0.0007590320892632008,9.700485179564566e-07,0.0009849104111321276,0.0007590320892632008,0.0,Bobcat_warehouse_Charlie_start4000_2160,40,timegan,2
0.001548371510580182,3.8567391129618045e-06,0.001963858221196684,0.001548371510580182,0.0,Bobcat_warehouse_Charlie_start4000_2160,40,cgan,2
0.0028743715956807137,1.2892108316009399e-05,0.003590558217883314,0.0028743715956807137,0.0,Bobcat_warehouse_Charlie_start4000_2160,50,oridata,2
0.0009252881864085793,1.3206630455897539e-06,0.0011492010466362071,0.0009252881864085793,0.0,Bobcat_warehouse_Charlie_start4000_2160,50,wgan,2
0.014797115698456764,0.0002204610500484705,0.01484793083390647,0.014797115698456764,0.0,Bobcat_warehouse_Charlie_start4000_2160,50,diffts,2
0.013930792920291424,0.0001948983990587294,0.01396060167251861,0.013930792920291424,0.0,Bobcat_warehouse_Charlie_start4000_2160,50,diffts-fft,5
0.0020310580730438232,6.475837835751008e-06,0.0025447667546851928,0.0020310580730438232,0.0,Bobcat_warehouse_Charlie_start4000_2160,50,timegan,2
0.0031935463193804026,1.6805750419734977e-05,0.0040994817257471675,0.0031935463193804026,0.0,Bobcat_warehouse_Charlie_start4000_2160,50,cgan,2
0.004791107960045338,3.2552248740103096e-05,0.0057054578028501,0.004791107960045338,0.0,Bobcat_warehouse_Charlie_start4000_2160,70,oridata,2
0.002939073834568262,1.4204109902493656e-05,0.003768834024269795,0.002939073834568262,0.0,Bobcat_warehouse_Charlie_start4000_2160,70,wgan,2
0.013856773264706135,0.00019547100237105042,0.013981094462560876,0.013856773264706135,0.0,Bobcat_warehouse_Charlie_start4000_2160,70,diffts,2
0.012188274413347244,0.00014906146680004895,0.012209073134355816,0.012188274413347244,0.0,Bobcat_warehouse_Charlie_start4000_2160,70,diffts-fft,5
