Building,Sparsity,Method,KL_oridata,MMD_oridata,KL_testdata,MMD_testdata
Eagle_education_Edith_start8000_2160,30,ours,0.2342150294586449,0.08509883049650722,0.16843337103997896,0.1535112521083659
Hog_public_Kevin_start4000_2160,50,ours,0.18594214470201467,0.03780553564414408,0.7416774081044899,0.09663543237707911
Cockatoo_assembly_Valencia_start8000_2160,50,ours,0.10671809646127434,0.049509435679786266,0.12662588719022635,0.12696649527420448
Bobcat_warehouse_Charlie_start0_2160,30,ours,3.897206085792698,0.0716762261758566,0.9109077767526336,0.18743919499409104
Cockatoo_assembly_Valencia_start0_2160,30,ours,0.37344125757506647,0.053582452879699156,0.3204297688853841,0.18026752156962597
Panther_other_Lucina_start4000_2160,70,ours,0.590882220020876,0.04087944910399316,0.39362076035124727,0.14333843773566024
Panther_other_Lucina_start0_2160,70,ours,0.7036817564686125,0.05667677478954473,2.6149604285649506,0.2076392255472845
Cockatoo_assembly_Valencia_start0_2160,90,ours,0.23231877773679183,0.06490915621409743,0.3615652329743207,0.23223833428301643
Bobcat_warehouse_Charlie_start0_2160,90,ours,1.034962404294154,0.08389160553376074,1.834377675896444,0.21935642600826605
Fox_lodging_Frances_start0_2160,70,ours,0.6109205371604164,0.04580834464766239,1.1746004333429825,0.19851372696008057
Eagle_education_Edith_start8000_2160,90,ours,0.1782008221123888,0.06186526623451213,1.2332955735873505,0.21457864801727927
Fox_lodging_Frances_start4000_2160,70,ours,0.1525748173825897,0.040254571319690874,0.3485927501238783,0.1224275621420115
Fox_lodging_Angla_start4000_2160,70,ours,0.15278077645248547,0.04267052322090028,0.2592605373194984,0.1837651103029325
Bobcat_warehouse_Charlie_start4000_2160,70,ours,1.2920801197113947,0.039936307468238924,3.0308902066786905,0.14205919599452174
Cockatoo_industrial_Nathaniel_start4000_2160,70,ours,0.13524252702473732,0.03226723340244065,0.19761377187746096,0.09819423509712391
Hog_health_Hisako_start0_2160,30,ours,0.17437113089669506,0.0771744100396111,0.4914933128354443,0.21393960094320816
Cockatoo_assembly_Valencia_start4000_2160,30,ours,0.17662608009222802,0.043037526016942426,0.3251483081562717,0.12517293903953317
Hog_public_Kevin_start8000_2160,30,ours,0.19883224393883117,0.04822442232260956,0.1511646341873501,0.10578536159683793
Eagle_education_Edith_start4000_2160,50,ours,0.6945715460012915,0.04437712254141329,0.383198626635766,0.08136517726469618
Hog_public_Kevin_start8000_2160,90,ours,0.129370599975649,0.051553439531512715,0.33076644698762303,0.18190108993350015
Cockatoo_assembly_Valencia_start4000_2160,90,ours,0.18050104621795543,0.04390275611917732,0.6034284253443112,0.16238949968054156
