Building,Sparsity,Method,KL_oridata,MMD_oridata,KL_testdata,MMD_testdata
Eagle_education_Edith_start8000_2160,30,ours,0.30382394948057223,0.09789952138896563,0.17237462167716966,0.07874310633142309
Cockatoo_assembly_Valencia_start8000_2160,50,ours,0.13923467079245283,0.09108758896160417,0.1148723646328109,0.06202142473062137
Cockatoo_assembly_Valencia_start0_2160,30,ours,0.9576848029488418,0.16935796911784626,0.16166699187160255,0.054004222034147675
Panther_other_Lucina_start4000_2160,70,ours,0.7043250815370901,0.05523451184565067,0.41102618881446584,0.11086748354039537
Panther_other_Lucina_start0_2160,70,ours,0.7645455252592298,0.09110276978395931,2.890135389879743,0.13540798275712115
Cockatoo_assembly_Valencia_start0_2160,90,ours,0.18355602214506958,0.06683976054288453,0.33144427813715316,0.2160087207777216
Fox_lodging_Frances_start0_2160,70,ours,0.5958420092485956,0.0551578643277907,1.0911432753783892,0.14152054420463725
Eagle_education_Edith_start8000_2160,90,ours,0.17829430573504249,0.06140458037715077,1.215339207721565,0.19007555554304278
Fox_lodging_Frances_start4000_2160,70,ours,0.16158623000749633,0.04768942767686691,0.32591092409219746,0.09938303255877116
Bobcat_warehouse_Charlie_start4000_2160,70,ours,1.5867868172895327,0.06452060216333846,3.825362732291183,0.10467232164898373
Cockatoo_industrial_Nathaniel_start4000_2160,70,ours,0.16683593244709635,0.043309839915708574,0.20208903863785146,0.0832738054504457
Hog_public_Kevin_start8000_2160,30,ours,0.30818702863427216,0.0983230156163379,0.14306867768356948,0.061727278913764345
Eagle_education_Edith_start4000_2160,50,ours,0.790340058192507,0.0599723518637238,0.3934574630607554,0.05188691621845844
Hog_public_Kevin_start8000_2160,90,ours,0.1343328792875518,0.04065506132419032,0.32441063463514985,0.17367205859270476
Hog_health_Hisako_start8000_2160,70,ours,0.1352963808265023,0.06737310953446947,0.2692444921596103,0.11630079412802481
Cockatoo_industrial_Nathaniel_start0_2160,50,ours,0.3070662989816346,0.1487270893368598,0.5831953357455871,0.06824059598479525
Rat_public_Alexander_start4000_2160,70,ours,2.875281188489913,0.08194860503303708,3.2002623926941642,0.1294748714156971
Rat_public_Alexander_start4000_2160,90,ours,2.6255866193734927,0.08280988447401404,3.9947369531751913,0.1687473234801555
Fox_lodging_Angla_start8000_2160,50,ours,0.9208307264689781,0.06460372305561783,0.3091614140026284,0.10302414628069838
Bobcat_warehouse_Charlie_start8000_2160,50,ours,1.0190940470579835,0.09613652188612372,0.9953151936624272,0.12261724927301251
Rat_public_Alexander_start4000_2160,30,ours,2.2276743814086974,0.1481073322433625,2.444596691272006,0.08020096380294284
Fox_lodging_Angla_start0_2160,50,ours,0.5746823622541268,0.09485996566062524,0.7888829811406505,0.1032535728101273
Hog_public_Kevin_start8000_2160,70,ours,0.1393057871335032,0.054412387349032434,0.1828241306276202,0.08865341069013091
Hog_health_Hisako_start8000_2160,90,ours,0.14315690126928646,0.06838166233348851,0.4458755787716618,0.19476563991711165
Hog_health_Hisako_start8000_2160,30,ours,0.4071166137139815,0.11053219429576287,0.2208082102419034,0.07351110961162813
Fox_lodging_Frances_start4000_2160,30,ours,0.25093864558652534,0.09920798729531259,0.2528681792284311,0.05751652071403598
Cockatoo_industrial_Nathaniel_start4000_2160,90,ours,0.15448693345378994,0.03505532029661983,0.5329119271500015,0.11989868639370423
Bobcat_warehouse_Charlie_start4000_2160,90,ours,1.4341159315876686,0.04411115031337852,3.88027311660441,0.2092078506718365
Hog_public_Kevin_start0_2160,50,ours,0.21070749487329293,0.08431975132694398,0.35571565334426847,0.0839823463726126
Rat_public_Alexander_start8000_2160,50,ours,0.8660609217192141,0.11642337793877187,1.1963828162062504,0.12603026332081982
Bobcat_warehouse_Charlie_start4000_2160,30,ours,1.3828021000011954,0.09516325104002193,3.0169951977746936,0.05718725826009008
Cockatoo_industrial_Nathaniel_start4000_2160,30,ours,0.17335950681258178,0.07639941273342533,0.15359732878203794,0.04291596108762656
Fox_lodging_Frances_start4000_2160,90,ours,0.16223796735486476,0.040329470854040816,0.4923395396215499,0.1540052310004133
Cockatoo_assembly_Valencia_start0_2160,70,ours,0.23632079536686204,0.10327834097787604,0.3554539733728918,0.11871494678558617
Panther_other_Lucina_start0_2160,90,ours,0.976139757086918,0.062481509049083846,3.868647120900329,0.1785936150731636
Panther_other_Lucina_start4000_2160,30,ours,0.6687186495125508,0.08927702931744552,0.4417408282269196,0.05380196233801618
Fox_lodging_Frances_start0_2160,90,ours,0.35223573355740034,0.041260081125626076,1.4063628395982524,0.23654854692227542
Eagle_education_Edith_start8000_2160,70,ours,0.18495338158127272,0.0657443793416856,0.21952678203899054,0.0946257243628354
Fox_lodging_Frances_start0_2160,30,ours,0.795869650872397,0.15898531703311486,0.36619774998401367,0.09154597449092389
Panther_other_Lucina_start4000_2160,90,ours,0.44073808039797374,0.044204218484784535,1.8968735886532557,0.15500505354551045
Panther_other_Lucina_start0_2160,30,ours,0.9564034158115664,0.11803439724999251,2.7590386500677746,0.06601619344441177
Hog_health_Hisako_start4000_2160,50,ours,0.5548086575317049,0.08436282020208558,0.8517003690593357,0.06595567548951983
Rat_public_Alexander_start8000_2160,70,ours,0.6871145428154928,0.10659419212078965,0.9832991721795648,0.12943830538118414
Hog_public_Kevin_start0_2160,70,ours,0.2194741915775515,0.0673783568401465,0.5962547463205722,0.11532184382123613
Cockatoo_assembly_Valencia_start0_2160,50,ours,0.3309105033423928,0.13823795741306832,0.30839159626333124,0.07651761244323911
Eagle_education_Edith_start8000_2160,50,ours,0.19705125196809353,0.07676437186271222,0.19228550171790018,0.09197405536446929
Cockatoo_assembly_Valencia_start8000_2160,30,ours,0.245957554409297,0.12043385152628297,0.10924042584373005,0.053931835804460995
Cockatoo_assembly_Valencia_start8000_2160,90,ours,0.11052282835127539,0.04959099453659183,0.19076414576916553,0.17887654890037058
Hog_health_Hisako_start4000_2160,70,ours,0.5712845918577582,0.06943452405618858,0.8803850674022251,0.1051962838297823
Cockatoo_industrial_Nathaniel_start0_2160,90,ours,0.2443429117321317,0.06897857203422487,0.6379621955744228,0.17535925424803486
Bobcat_warehouse_Charlie_start8000_2160,70,ours,0.9247124609788073,0.09669597536348544,4.49049575398398,0.13673910138897635
Cockatoo_industrial_Nathaniel_start0_2160,30,ours,0.6395705979191302,0.180569419627071,0.1748546282729875,0.05076538936646643
Fox_lodging_Angla_start8000_2160,70,ours,0.2538334424418603,0.05343820854714603,0.8701328076861761,0.1272713500528611
Hog_public_Kevin_start8000_2160,50,ours,0.1467182344562868,0.08315444468380037,0.15606697715514442,0.06905349053549609
Fox_lodging_Angla_start0_2160,70,ours,0.5825764768888091,0.05233456374311945,0.8791836199513423,0.1288842180616303
Eagle_education_Edith_start4000_2160,30,ours,0.8592994591110549,0.09367349896662554,0.39213674242553587,0.04464976795174752
Eagle_education_Edith_start4000_2160,90,ours,0.3428086670866508,0.042133388466270016,1.773450594517094,0.1322015059721946
Eagle_education_Edith_start4000_2160,70,ours,0.4546423723440708,0.04552749076770345,0.756910687642258,0.07323632567111293
Fox_lodging_Angla_start0_2160,30,ours,0.714388114485477,0.13946401682444148,0.37416489100267614,0.08111624337183009
Fox_lodging_Angla_start0_2160,90,ours,0.3500916778079493,0.039513326117270355,1.314217208655133,0.21367804315824632
Hog_health_Hisako_start8000_2160,50,ours,0.1405381469337826,0.09300316265925473,0.2443253513805494,0.08620451336870999
Bobcat_warehouse_Charlie_start8000_2160,90,ours,0.9814521495136612,0.09535140796155307,5.251017272549342,0.18502094056295304
Fox_lodging_Angla_start8000_2160,90,ours,0.2476812964344513,0.04077047250023114,1.0072024403116746,0.1578239923815488
Fox_lodging_Angla_start8000_2160,30,ours,0.8845377114115025,0.08679085146296837,0.29199886862827595,0.06880558577376399
Rat_public_Alexander_start4000_2160,50,ours,3.0062766111830808,0.10022557813080647,3.208520370453544,0.08431588886492584
Bobcat_warehouse_Charlie_start8000_2160,30,ours,1.116276759215714,0.08963197742788274,0.7831059675703739,0.11263546410623863
Cockatoo_industrial_Nathaniel_start0_2160,70,ours,0.23365615390304037,0.10895688368138173,0.6036738497668739,0.09778080479102787
Cockatoo_assembly_Valencia_start8000_2160,70,ours,0.13767059088354086,0.06438642502832806,0.11957944379292411,0.11199862097738839
Hog_health_Hisako_start4000_2160,90,ours,0.5631831923996934,0.048576291842042055,1.4051696458068572,0.18476230916934744
Panther_other_Lucina_start4000_2160,50,ours,0.6652465465084797,0.06990269877474718,0.4483740200145261,0.07475686706707592
Panther_other_Lucina_start0_2160,50,ours,1.0108269880828193,0.10097676493825039,3.047479140959061,0.08549997046700523
Hog_health_Hisako_start4000_2160,30,ours,0.5296147834403643,0.10949273498882002,0.6238784881646688,0.057892413349677825
Fox_lodging_Frances_start0_2160,50,ours,0.5938512649163843,0.10406367918822149,0.8004500564144952,0.12418411195014227
Fox_lodging_Frances_start4000_2160,50,ours,0.2105513672108226,0.07818083965088629,0.3258878132769877,0.07930899967791326
Hog_public_Kevin_start0_2160,90,ours,0.12876482780976672,0.043339811326944436,1.342141534298639,0.17609660767527247
Rat_public_Alexander_start8000_2160,90,ours,0.8355092951790498,0.0912048113572301,1.3519798432782077,0.2775221511219316
Cockatoo_industrial_Nathaniel_start4000_2160,50,ours,0.17435446995734002,0.05412000294049682,0.16915846864368148,0.05948748509375718
Bobcat_warehouse_Charlie_start4000_2160,50,ours,1.7572898258618506,0.07369824802849306,3.8926924053262626,0.07106628424092801
Rat_public_Alexander_start8000_2160,30,ours,0.967355012647048,0.13202735817998715,0.905381357108264,0.10034830554743708
Hog_public_Kevin_start0_2160,30,ours,0.49720757153836576,0.11423896591864702,0.25564990242768254,0.059266937900816614
