Method,Sparsity,KL_oridata,MMD_oridata,KL_testdata,MMD_testdata
ours,30,0.7443393154480568,0.11638050511271572,0.7021682199127158,0.06732912471007249
ours,50,0.6808220224146614,0.09064104692515466,0.9191157646230099,0.08446907347771639
ours,70,0.5808021976439013,0.0697259229048852,1.1576447234356513,0.11243808857589141
ours,90,0.5294618988781844,0.05534958876588099,1.6331559832864528,0.18389348175537695


ours,30,0.8124589230415822,0.0754518429510342,0.5860920150460647,0.1384102027924882
ours,50,0.8435429184572034,0.0782391058241042,0.7603244290268639,0.1359871419508232
ours,70,0.8975227243569320,0.0834807937133631,0.9551083983106273,0.1413486235860356
ours,90,0.9615657705004318,0.0924311958949574,1.4307379354088570,0.1702442733826496
