MAE,MSE,RMSE,MAPE,R2,Building,Sparsity,Method,Epochs
0.0026426194,1.0160633e-05,0.0031875747,0.0026426194235682487,0.0,Bobcat_warehouse_Charlie_start4000_2160,20,oridata,2
0.0014512072,3.205198e-06,0.0017903066,0.0014512072084471583,0.0,Bobcat_warehouse_Charlie_start4000_2160,20,wgan,2
0.014779964,0.00022044139,0.014847268,0.014779964461922646,0.0,Bobcat_warehouse_Charlie_start4000_2160,20,diffts,6
0.012330916,0.00015240855,0.012345386,0.012330915778875351,0.0,Bobcat_warehouse_Charlie_start4000_2160,20,diffts-fft,6
0.004458693,3.046937e-05,0.0055199065,0.004458692856132984,0.0,Bobcat_warehouse_Charlie_start4000_2160,20,timegan,2
0.0021237999,7.709468e-06,0.002776593,0.0021237998735159636,0.0,Bobcat_warehouse_Charlie_start4000_2160,20,cgan,2
0.00580054,4.0091756e-05,0.006331805,0.005800540093332529,0.0,Bobcat_warehouse_Charlie_start4000_2160,30,oridata,2
0.0050558965,4.1244028e-05,0.0064221513,0.00505589647218585,0.0,Bobcat_warehouse_Charlie_start4000_2160,30,wgan,2
0.013842305,0.00019354458,0.01391203,0.013842305168509483,0.0,Bobcat_warehouse_Charlie_start4000_2160,30,diffts,6
0.012904574,0.00016694368,0.012920668,0.012904574163258076,0.0,Bobcat_warehouse_Charlie_start4000_2160,30,diffts-fft,6
0.003968863,2.4165234e-05,0.004915815,0.003968862816691399,0.0,Bobcat_warehouse_Charlie_start4000_2160,30,timegan,2
0.0018063168,4.746132e-06,0.0021785619,0.0018063167808577418,0.0,Bobcat_warehouse_Charlie_start4000_2160,30,cgan,2
0.0013861738,3.2210069e-06,0.0017947163,0.0013861737679690123,0.0,Bobcat_warehouse_Charlie_start4000_2160,40,oridata,2
0.001062083,2.0578448e-06,0.001434519,0.0010620830580592155,0.0,Bobcat_warehouse_Charlie_start4000_2160,40,wgan,2
0.012020715,0.00014865186,0.012192287,0.012020714581012726,0.0,Bobcat_warehouse_Charlie_start4000_2160,40,diffts,6
0.013042342,0.00017172619,0.013104434,0.01304234191775322,0.0,Bobcat_warehouse_Charlie_start4000_2160,40,diffts-fft,6
0.004239125,2.6877364e-05,0.0051843384,0.0042391251772642136,0.0,Bobcat_warehouse_Charlie_start4000_2160,40,timegan,2
0.0014754793,3.362708e-06,0.0018337688,0.001475479337386787,0.0,Bobcat_warehouse_Charlie_start4000_2160,40,cgan,2
0.003371009,1.6499533e-05,0.0040619615,0.0033710089046508074,0.0,Bobcat_warehouse_Charlie_start4000_2160,50,oridata,2
0.0047566346,3.4270368e-05,0.0058540897,0.004756634589284658,0.0,Bobcat_warehouse_Charlie_start4000_2160,50,wgan,2
0.01400197,0.00019822306,0.014079171,0.014001970179378986,0.0,Bobcat_warehouse_Charlie_start4000_2160,50,diffts,6
0.013092626,0.00017162228,0.013100469,0.013092625886201859,0.0,Bobcat_warehouse_Charlie_start4000_2160,50,diffts-fft,6
0.001184995,2.1752164e-06,0.0014748615,0.0011849950533360243,0.0,Bobcat_warehouse_Charlie_start4000_2160,50,timegan,2
0.0014273172,3.407513e-06,0.001845945,0.0014273171545937657,0.0,Bobcat_warehouse_Charlie_start4000_2160,50,cgan,2
0.00091211195,1.476018e-06,0.0012149148,0.0009121119510382414,0.0,Bobcat_warehouse_Charlie_start4000_2160,70,oridata,2
0.002442421,9.805748e-06,0.0031314131,0.0024424209259450436,0.0,Bobcat_warehouse_Charlie_start4000_2160,70,wgan,2
0.010529729,0.000115723335,0.010757478,0.01052972860634327,0.0,Bobcat_warehouse_Charlie_start4000_2160,70,diffts,6
0.010760033,0.000116563235,0.010796445,0.010760032571852207,0.0,Bobcat_warehouse_Charlie_start4000_2160,70,diffts-fft,6
0.0008235072,1.6888291e-06,0.0012995496,0.0008235072018578649,0.0,Bobcat_warehouse_Charlie_start4000_2160,70,timegan,2
0.0006963753,7.8540154e-07,0.0008862288,0.0006963753257878125,0.0,Bobcat_warehouse_Charlie_start4000_2160,70,cgan,2
0.0005627598,5.0353947e-07,0.00070960517,0.0005627598147839308,0.0,Bobcat_warehouse_Charlie_start4000_2160,80,oridata,2
0.0020362798,6.996422e-06,0.002645075,0.0020362797658890486,0.0,Bobcat_warehouse_Charlie_start4000_2160,80,wgan,2
0.012495893,0.00015773642,0.012559316,0.01249589305371046,0.0,Bobcat_warehouse_Charlie_start4000_2160,80,diffts,6
0.010756268,0.00011612784,0.010776263,0.010756268166005611,0.0,Bobcat_warehouse_Charlie_start4000_2160,80,diffts-fft,6
0.0022416872,7.389751e-06,0.0027184095,0.002241687150672078,0.0,Bobcat_warehouse_Charlie_start4000_2160,80,timegan,2
0.00032285583,1.6088975e-07,0.00040111065,0.0003228558343835175,0.0,Bobcat_warehouse_Charlie_start4000_2160,80,cgan,2
0.0011736957,2.3875073e-06,0.0015451561,0.0011736956657841802,0.0,Bobcat_warehouse_Charlie_start4000_2160,90,oridata,2
0.0005117029,3.9937512e-07,0.00063196133,0.0005117029068060219,0.0,Bobcat_warehouse_Charlie_start4000_2160,90,wgan,2
0.01341862,0.00018298786,0.0135273,0.013418620452284813,0.0,Bobcat_warehouse_Charlie_start4000_2160,90,diffts,6
0.012100799,0.00014692364,0.012121206,0.01210079900920391,0.0,Bobcat_warehouse_Charlie_start4000_2160,90,diffts-fft,6
0.0006617891,6.9930104e-07,0.0008362422,0.000661789090372622,0.0,Bobcat_warehouse_Charlie_start4000_2160,90,timegan,2
0.00076169183,8.840758e-07,0.000940253,0.0007616918301209807,0.0,Bobcat_warehouse_Charlie_start4000_2160,90,cgan,2
0.0015740033,4.2979877e-06,0.002073159,0.0015740032540634274,0.0,Bobcat_warehouse_Charlie_start8000_2160,20,oridata,2
0.0011884847,2.3955542e-06,0.0015477578,0.0011884847190231085,0.0,Bobcat_warehouse_Charlie_start8000_2160,20,wgan,2
0.012901614,0.00016783131,0.012954973,0.012901614420115948,0.0,Bobcat_warehouse_Charlie_start8000_2160,20,diffts,6
0.01211544,0.00014766061,0.012151568,0.01211544033139944,0.0,Bobcat_warehouse_Charlie_start8000_2160,20,diffts-fft,6
0.0004594993,3.5094934e-07,0.00059240975,0.00045949930790811777,0.0,Bobcat_warehouse_Charlie_start8000_2160,20,timegan,2
0.0013246365,2.5830248e-06,0.0016071792,0.0013246365124359727,0.0,Bobcat_warehouse_Charlie_start8000_2160,20,cgan,2
0.002224684,6.5406416e-06,0.002557468,0.0022246839944273233,0.0,Bobcat_warehouse_Charlie_start8000_2160,30,oridata,2
0.0031251693,1.649191e-05,0.0040610232,0.003125169314444065,0.0,Bobcat_warehouse_Charlie_start8000_2160,30,wgan,2
0.012830801,0.00016828197,0.012972354,0.01283080130815506,0.0,Bobcat_warehouse_Charlie_start8000_2160,30,diffts,6
0.010644455,0.00011665149,0.010800532,0.010644455440342426,0.0,Bobcat_warehouse_Charlie_start8000_2160,30,diffts-fft,6
0.0016806942,4.6412074e-06,0.002154346,0.0016806941712275147,0.0,Bobcat_warehouse_Charlie_start8000_2160,30,timegan,2
0.0042973855,2.9448473e-05,0.005426645,0.004297385457903147,0.0,Bobcat_warehouse_Charlie_start8000_2160,30,cgan,2
0.0041885534,2.6096885e-05,0.005108511,0.0041885534301400185,0.0,Bobcat_warehouse_Charlie_start8000_2160,40,oridata,2
0.002035662,6.5604772e-06,0.002561343,0.002035662066191435,0.0,Bobcat_warehouse_Charlie_start8000_2160,40,wgan,2
0.009290059,9.205154e-05,0.009594349,0.009290059097111225,0.0,Bobcat_warehouse_Charlie_start8000_2160,40,diffts,6
0.010321417,0.00010757563,0.010371868,0.010321416892111301,0.0,Bobcat_warehouse_Charlie_start8000_2160,40,diffts-fft,6
0.0006649926,8.713495e-07,0.00093346107,0.0006649926071986556,0.0,Bobcat_warehouse_Charlie_start8000_2160,40,timegan,2
0.0005983546,5.977259e-07,0.00077312737,0.0005983546143397689,0.0,Bobcat_warehouse_Charlie_start8000_2160,40,cgan,2
0.001137193,1.9443078e-06,0.0013943844,0.0011371929431334138,0.0,Bobcat_warehouse_Charlie_start8000_2160,50,oridata,2
0.0032756208,1.6618593e-05,0.0040765908,0.003275620751082897,0.0,Bobcat_warehouse_Charlie_start8000_2160,50,wgan,2
0.012557234,0.00016124052,0.0126980515,0.012557233683764935,0.0,Bobcat_warehouse_Charlie_start8000_2160,50,diffts,6
0.0101806875,0.00010518251,0.010255853,0.01018068753182888,0.0,Bobcat_warehouse_Charlie_start8000_2160,50,diffts-fft,6
0.00089942385,1.2932724e-06,0.0011372213,0.0008994238451123238,0.0,Bobcat_warehouse_Charlie_start8000_2160,50,timegan,2
0.0005834275,5.3204315e-07,0.0007294129,0.0005834274925291538,0.0,Bobcat_warehouse_Charlie_start8000_2160,50,cgan,2
0.0048314943,3.3680833e-05,0.005803519,0.004831494297832251,0.0,Bobcat_warehouse_Charlie_start8000_2160,70,oridata,2
0.0007723487,9.62741e-07,0.0009811936,0.000772348721511662,0.0,Bobcat_warehouse_Charlie_start8000_2160,70,wgan,2
0.008064507,6.996251e-05,0.00836436,0.008064506575465202,0.0,Bobcat_warehouse_Charlie_start8000_2160,70,diffts,6
0.0108638145,0.000118466676,0.01088424,0.010863814502954483,0.0,Bobcat_warehouse_Charlie_start8000_2160,70,diffts-fft,6
0.0022675316,8.011598e-06,0.0028304765,0.0022675315849483013,0.0,Bobcat_warehouse_Charlie_start8000_2160,70,timegan,2
