MAE,MSE,RMSE,MAPE,R2,Building,Sparsity,Method,Epochs,MAPE_original
0.0026426194,1.0160633e-05,0.0031875747,0.000330327427946025,0.0,Bobcat_warehouse_Charlie_start4000_2160,20,oridata,2,0.0026426194235682
0.0014512072,3.205198e-06,0.0017903066,0.0001814009010558875,0.0,Bobcat_warehouse_Charlie_start4000_2160,20,wgan,2,0.0014512072084471
0.014779964,0.00022044139,0.014847268,0.001847495557740325,0.0,Bobcat_warehouse_Charlie_start4000_2160,20,diffts,6,0.0147799644619226
0.012330916,0.00015240855,0.012345386,0.0015413644723594126,0.0,Bobcat_warehouse_Charlie_start4000_2160,20,diffts-fft,6,0.0123309157788753
0.004458693,3.046937e-05,0.0055199065,0.0005573366070166125,0.0,Bobcat_warehouse_Charlie_start4000_2160,20,timegan,2,0.0044586928561329
0.0021237999,7.709468e-06,0.002776593,0.0002654749841894875,0.0,Bobcat_warehouse_Charlie_start4000_2160,20,cgan,2,0.0021237998735159
0.00580054,4.0091756e-05,0.006331805,0.0007250675116665624,0.0,Bobcat_warehouse_Charlie_start4000_2160,30,oridata,2,0.0058005400933325
0.0050558965,4.1244028e-05,0.0064221513,0.000631987059023225,0.0,Bobcat_warehouse_Charlie_start4000_2160,30,wgan,2,0.0050558964721858
0.013842305,0.00019354458,0.01391203,0.001730288146063675,0.0,Bobcat_warehouse_Charlie_start4000_2160,30,diffts,6,0.0138423051685094
0.012904574,0.00016694368,0.012920668,0.00161307177040725,0.0,Bobcat_warehouse_Charlie_start4000_2160,30,diffts-fft,6,0.012904574163258
0.003968863,2.4165234e-05,0.004915815,0.0004961078520864125,0.0,Bobcat_warehouse_Charlie_start4000_2160,30,timegan,2,0.0039688628166913
0.0018063168,4.746132e-06,0.0021785619,0.0002257895976072125,0.0,Bobcat_warehouse_Charlie_start4000_2160,30,cgan,2,0.0018063167808577
0.0013861738,3.2210069e-06,0.0017947163,0.000173271720996125,0.0,Bobcat_warehouse_Charlie_start4000_2160,40,oridata,2,0.001386173767969
0.001062083,2.0578448e-06,0.001434519,0.0001327603822574,0.0,Bobcat_warehouse_Charlie_start4000_2160,40,wgan,2,0.0010620830580592
0.012020715,0.00014865186,0.012192287,0.0015025893226265875,0.0,Bobcat_warehouse_Charlie_start4000_2160,40,diffts,6,0.0120207145810127
0.013042342,0.00017172619,0.013104434,0.00163029273971915,0.0,Bobcat_warehouse_Charlie_start4000_2160,40,diffts-fft,6,0.0130423419177532
0.004239125,2.6877364e-05,0.0051843384,0.000529890647158025,0.0,Bobcat_warehouse_Charlie_start4000_2160,40,timegan,2,0.0042391251772642
0.0014754793,3.362708e-06,0.0018337688,0.0001844349171733375,0.0,Bobcat_warehouse_Charlie_start4000_2160,40,cgan,2,0.0014754793373867
0.003371009,1.6499533e-05,0.0040619615,0.00042137611308135,0.0,Bobcat_warehouse_Charlie_start4000_2160,50,oridata,2,0.0033710089046508
0.0047566346,3.4270368e-05,0.0058540897,0.000594579323660575,0.0,Bobcat_warehouse_Charlie_start4000_2160,50,wgan,2,0.0047566345892846
0.01400197,0.00019822306,0.014079171,0.0017502462724223625,0.0,Bobcat_warehouse_Charlie_start4000_2160,50,diffts,6,0.0140019701793789
0.013092626,0.00017162228,0.013100469,0.001636578235775225,0.0,Bobcat_warehouse_Charlie_start4000_2160,50,diffts-fft,6,0.0130926258862018
0.001184995,2.1752164e-06,0.0014748615,0.000148124381667,0.0,Bobcat_warehouse_Charlie_start4000_2160,50,timegan,2,0.001184995053336
0.0014273172,3.407513e-06,0.001845945,0.0001784146443242125,0.0,Bobcat_warehouse_Charlie_start4000_2160,50,cgan,2,0.0014273171545937
0.00091211195,1.476018e-06,0.0012149148,0.000114013993879775,0.0,Bobcat_warehouse_Charlie_start4000_2160,70,oridata,2,0.0009121119510382
0.002442421,9.805748e-06,0.0031314131,0.000305302615743125,0.0,Bobcat_warehouse_Charlie_start4000_2160,70,wgan,2,0.002442420925945
0.010529729,0.000115723335,0.010757478,0.0013162160757929,0.0,Bobcat_warehouse_Charlie_start4000_2160,70,diffts,6,0.0105297286063432
0.010760033,0.000116563235,0.010796445,0.001345004071481525,0.0,Bobcat_warehouse_Charlie_start4000_2160,70,diffts-fft,6,0.0107600325718522
