MAE,MSE,RMSE,MAPE,R2,Building,Sparsity,Method,Epochs,MAPE_original
0.0045556896,3.4763347e-05,0.005896045,0.000569461204577225,0.0,Bobcat_warehouse_Charlie_start6000_720,20,oridata,2,0.0045556896366178
0.008148589,9.254657e-05,0.009620113,0.00101857364643365,0.0,Bobcat_warehouse_Charlie_start6000_720,20,wgan,2,0.0081485891714692
0.01588783,0.00026161576,0.01617454,0.0019859788008034125,0.0,Bobcat_warehouse_Charlie_start6000_720,20,diffts,2,0.0158878304064273
0.013942063,0.0002190596,0.014800662,0.00174275785684585,0.0,Bobcat_warehouse_Charlie_start6000_720,20,diffts-fft,6,0.0139420628547668
0.0088612065,0.00011643239,0.010790384,0.00110765080899,0.0,Bobcat_warehouse_Charlie_start6000_720,20,timegan,2,0.00886120647192
0.0013424053,3.1376808e-06,0.00177135,0.0001678006665315375,0.0,Bobcat_warehouse_Charlie_start6000_720,20,cgan,2,0.0013424053322523
0.048927717,0.0024254967,0.049249332,0.006115964613854875,0.0,Bobcat_warehouse_Charlie_start6000_720,30,oridata,2,0.048927716910839
0.01878704,0.00049900403,0.022338398,0.0023483799304813125,0.0,Bobcat_warehouse_Charlie_start6000_720,30,wgan,2,0.0187870394438505
0.01763414,0.0003268814,0.018079862,0.0022042675409466,0.0,Bobcat_warehouse_Charlie_start6000_720,30,diffts,2,0.0176341403275728
0.014164826,0.00020116915,0.014183411,0.0017706032376736374,0.0,Bobcat_warehouse_Charlie_start6000_720,30,diffts-fft,6,0.0141648259013891
0.022042135,0.0006808678,0.026093444,0.002755266847088925,0.0,Bobcat_warehouse_Charlie_start6000_720,30,timegan,2,0.0220421347767114
0.012196013,0.00015919177,0.012617122,0.0015245015965774625,0.0,Bobcat_warehouse_Charlie_start6000_720,30,cgan,2,0.0121960127726197
0.013146482,0.00019422338,0.013936405,0.0016433103010058375,0.0,Bobcat_warehouse_Charlie_start6000_720,40,oridata,2,0.0131464824080467
0.009544,0.0001222269,0.011055628,0.0011930000036954875,0.0,Bobcat_warehouse_Charlie_start6000_720,40,wgan,2,0.0095440000295639
0.01643532,0.00027226936,0.016500587,0.0020544149447232376,0.0,Bobcat_warehouse_Charlie_start6000_720,40,diffts,2,0.0164353195577859
0.013412429,0.00018304482,0.013529406,0.0016765536274760875,0.0,Bobcat_warehouse_Charlie_start6000_720,40,diffts-fft,6,0.0134124290198087
0.014217866,0.0002531621,0.015911069,0.001777233206667,0.0,Bobcat_warehouse_Charlie_start6000_720,40,timegan,2,0.014217865653336
0.010667213,0.0001463734,0.0120984875,0.0013334016548469626,0.0,Bobcat_warehouse_Charlie_start6000_720,40,cgan,2,0.0106672132387757
0.002806664,1.2282682e-05,0.0035046658,0.0003508329973556,0.0,Bobcat_warehouse_Charlie_start6000_720,50,oridata,2,0.0028066639788448
0.0057249707,4.5636e-05,0.0067554424,0.000715621339622875,0.0,Bobcat_warehouse_Charlie_start6000_720,50,wgan,2,0.005724970716983
0.014340597,0.00023582167,0.015356487,0.001792574650608,0.0,Bobcat_warehouse_Charlie_start6000_720,50,diffts,2,0.014340597204864
0.014562639,0.00021378473,0.014621379,0.0018203299259766876,0.0,Bobcat_warehouse_Charlie_start6000_720,50,diffts-fft,6,0.0145626394078135
0.0035323414,1.5745016e-05,0.003967999,0.0004415426810737625,0.0,Bobcat_warehouse_Charlie_start6000_720,50,timegan,2,0.0035323414485901
0.009129865,0.0001270232,0.011270457,0.0011412331368774126,0.0,Bobcat_warehouse_Charlie_start6000_720,50,cgan,2,0.0091298650950193
0.005742959,3.7306676e-05,0.006107919,0.0007178699015639625,0.0,Bobcat_warehouse_Charlie_start6000_720,70,oridata,2,0.0057429592125117
0.009256162,0.00012615118,0.011231705,0.0011570202186703626,0.0,Bobcat_warehouse_Charlie_start6000_720,70,wgan,2,0.0092561617493629
0.016839962,0.0002925045,0.017102763,0.00210499530658125,0.0,Bobcat_warehouse_Charlie_start6000_720,70,diffts,2,0.01683996245265
0.010784095,0.00013255281,0.011513159,0.0013480118941515626,0.0,Bobcat_warehouse_Charlie_start6000_720,70,diffts-fft,6,0.0107840951532125
0.002393701,9.495697e-06,0.003081509,0.00029921263922005,0.0,Bobcat_warehouse_Charlie_start6000_720,70,timegan,2,0.0023937011137604
0.003313653,1.6589564e-05,0.004073029,0.000414206617278975,0.0,Bobcat_warehouse_Charlie_start6000_720,70,cgan,2,0.0033136529382318
0.007167919,8.891003e-05,0.009429212,0.000895989884156725,0.0,Bobcat_warehouse_Charlie_start6000_720,80,oridata,2,0.0071679190732538
