Sparsity,Method,MAE,MSE,RMSE,MAPE
30,CGAN,0.11554177113,0.0288769453079535,0.144842336993,17.42855689264361
30,DDPM,0.081631495975,0.015542420412,0.1012653475,12.1089189655263905
30,OURS,0.065309210925,0.011036244697,0.0833467879,8.85193502662878
30,Real Data,0.15636119999,0.04451541514406,0.18050410114999998,19.829912929613055
30,TIMEGAN,0.121204142408,0.027529781514790002,0.141776747835,16.832093387374698
30,VAEGAN,0.11579580623,0.02645458593054,0.13928706036,17.217694138571096
50,CGAN,0.106908006295,0.02363887388984,0.13113910145000002,15.576130944404577
50,DDPM,0.06911503375,0.010631452002999999,0.0892129522,11.364474715775577
50,OURS,0.046841203,0.0056247570122,0.065541177625,7.940502290474251
50,Real Data,0.13284009038,0.037156217047335,0.160049547535,16.494838890661049
50,TIMEGAN,0.1111914621,0.02527173945788,0.13464389159149998,13.41113118064095
50,VAEGAN,0.10524696439650001,0.023918000749948,0.131245167313,13.910688763004146
70,CGAN,0.091166864907,0.02007685151126,0.1204144771375,11.443080148636
70,DDPM,0.063600872125,0.01040411252225,0.088442309625,9.357863581104903
70,OURS,0.04520188745,0.0057107604665,0.06484562725000001,6.5540940257138574
70,Real Data,0.11286465108000002,0.02919796664944,0.14510076345,13.555789232948154
70,TIMEGAN,0.099805965601,0.021450004578552,0.1239924977305,11.319915510789723
70,VAEGAN,0.100161807721,0.0225462989948495,0.1253562234525,10.102250416384958
90,CGAN,0.09051702648500001,0.020063977232687498,0.11688516083,11.548224206306804
90,DDPM,0.0779321397,0.02205022635375,0.10405888555000001,9.336955449101517
90,OURS,0.050814942249999995,0.0076109448149999995,0.06970411577499999,7.055197692121146
90,Real Data,0.11330368066,0.027379447901965,0.12901519851999998,13.594324021154897
90,TIMEGAN,0.0897856562275,0.018535192398125,0.11185965605699999,11.736641816711018
90,VAEGAN,0.08443233874,0.016954923258505,0.10786885379,10.18282439781069
