MAE,MSE,RMSE,MAPE,R2,Building,Sparsity,Method,Epochs
0.042081378400325775,0.003192886244505644,0.05650563020182718,7.8289433,0.7904898524284363,Fox_lodging_Frances_start4000_2160,40,ours,8
0.05209441855549812,0.00549986120313406,0.07416104909677357,10.432419,0.8535398840904236,Eagle_education_Edith_start8000_2160,30,ours,8
0.053495246917009354,0.005405456759035587,0.07352181145099451,10.786725,0.8964183926582336,Hog_public_Kevin_start4000_2160,50,ours,8
0.13014252483844757,0.02975611202418804,0.17249960006964665,36.2418,0.13226556777954102,Cockatoo_assembly_Valencia_start8000_2160,50,ours,8
0.012432652525603771,0.00015531733515672386,0.012462637568216604,0.0124326525,0.0,Rat_public_Alexander_start8000_2160,80,ours,8
0.010128287598490715,0.00010383375774836168,0.01018988507041967,0.010128288,0.0,Bobcat_warehouse_Charlie_start0_2160,30,ours,8
0.05134759098291397,0.006497188471257687,0.08060513923601699,15.049908,0.9000706076622009,Hog_public_Kevin_start0_2160,80,ours,8
0.17475160956382751,0.03684873878955841,0.19196025315038115,135.28053,0.07068634033203125,Cockatoo_assembly_Valencia_start0_2160,30,ours,8
0.04380090534687042,0.0034818919375538826,0.05900755830869366,11.768514,0.9374384880065918,Panther_other_Lucina_start4000_2160,70,ours,8
0.012198290787637234,0.00014906162687111646,0.01220907968976845,0.012198291,0.0,Panther_other_Lucina_start0_2160,70,ours,8
0.13195005059242249,0.027193548157811165,0.16490466384493546,493.11694,0.7570436000823975,Cockatoo_assembly_Valencia_start0_2160,90,ours,8
0.059154726564884186,0.007931680418550968,0.08905998213873034,21.17691,0.8849449157714844,Hog_public_Kevin_start0_2160,20,ours,8
0.011083869263529778,0.0001229815825354308,0.011089706151897388,0.011083869,0.0,Bobcat_warehouse_Charlie_start0_2160,90,ours,8
0.009341304190456867,8.901391265681013e-05,0.009434718472578296,0.009341304,0.0,Rat_public_Alexander_start8000_2160,20,ours,8
0.01394581701606512,0.00019542331574484706,0.013979388961783953,0.013945817,0.0,Bobcat_warehouse_Charlie_start4000_2160,40,ours,8
0.07686668634414673,0.01238388940691948,0.11128292504656534,108.884346,0.805228054523468,Cockatoo_industrial_Nathaniel_start4000_2160,40,ours,8
0.04916053265333176,0.0051844147965312,0.07200288047384772,10.642061,0.4531654715538025,Fox_lodging_Frances_start0_2160,70,ours,8
0.04760616645216942,0.0038568577729165554,0.06210360515233037,8.646921,0.8980571031570435,Eagle_education_Edith_start8000_2160,90,ours,8
0.03913331776857376,0.002755658235400915,0.05249436384413964,8.7876005,0.9408109188079834,Fox_lodging_Angla_start4000_2160,40,ours,8
0.04030115529894829,0.002795854350551963,0.05287583900565515,7.345377,0.8001095056533813,Fox_lodging_Frances_start4000_2160,70,ours,8
0.03468771651387215,0.002584455069154501,0.050837536025603175,5.9929276,0.9096535444259644,Hog_health_Hisako_start4000_2160,80,ours,8
0.03776637837290764,0.0030661667697131634,0.05537297869641079,15.127807,0.9388151168823242,Panther_other_Lucina_start4000_2160,40,ours,8
0.009938613511621952,9.917292481986806e-05,0.009958560378883489,0.0099386135,0.0,Panther_other_Lucina_start0_2160,40,ours,8
0.03884005919098854,0.003298765979707241,0.057434884693078656,9.680297,0.9013606309890747,Hog_health_Hisako_start4000_2160,20,ours,8
0.0543183870613575,0.004865406081080437,0.06975246290333006,8.9953575,0.8729898929595947,Fox_lodging_Angla_start4000_2160,70,ours,8
0.012406455352902412,0.00015438403352163732,0.012425137163091493,0.012406455,0.0,Bobcat_warehouse_Charlie_start4000_2160,70,ours,8
0.07410971820354462,0.01056864857673645,0.10280393269100385,108.523224,0.8433517217636108,Cockatoo_industrial_Nathaniel_start4000_2160,70,ours,8
0.04029929265379906,0.0031091358978301287,0.05575962605532903,7.9188533,0.602403998374939,Fox_lodging_Frances_start0_2160,40,ours,8
