MAE,MSE,RMSE,MAPE,R2,Building,Sparsity,Method,Epochs
0.09051670879125595,0.014495938085019588,0.12039907842263407,20.809812307357788,0.14831143617630005,Fox_lodging_Frances,300,oridata,4
0.08888566964864731,0.013728112913668156,0.11716702997715764,17.1453537940979,0.19342392683029175,Fox_lodging_Frances,300,timegan,7
0.08780365437269211,0.011668684892356396,0.10802168713900184,15.955391228199005,0.31442272663116455,Fox_lodging_Frances,300,cgan,7
0.05963774397969246,0.00634663226082921,0.07966575337514364,11.72512024641037,0.6271125078201294,Fox_lodging_Frances,300,CDDM,10
0.03957067057490349,0.002836068859323859,0.05325475433540051,9.525931626558304,0.8333707451820374,Fox_lodging_Frances,300,ours,15
0.11000031232833862,0.02056962251663208,0.14342113692420683,22.30246663093567,-0.07912814617156982,Fox_lodging_Frances,100,oridata,5
0.07135579735040665,0.007853795774281025,0.0886216439380416,16.663703322410583,0.5879724025726318,Fox_lodging_Frances,100,timegan,7
0.06133239343762398,0.006110773421823978,0.07817143609928104,15.051208436489105,0.679415225982666,Fox_lodging_Frances,100,cgan,7
0.04628036916255951,0.003804711624979973,0.06168234451591454,9.998425841331482,0.8003963828086853,Fox_lodging_Frances,100,CDDM,10
0.03974617272615433,0.002814872656017542,0.05305537348862546,9.45475772023201,0.8523254990577698,Fox_lodging_Frances,100,ours,15
0.08659423142671585,0.011854891665279865,0.10888017112991633,19.791138172149658,0.43994879722595215,Fox_lodging_Frances,500,oridata,5
0.04534393548965454,0.0037636265624314547,0.061348403096017544,10.775045305490494,0.8221979737281799,Fox_lodging_Frances,500,timegan,7
0.05107825621962547,0.004494667984545231,0.0670422850486559,12.334459275007248,0.7876619696617126,Fox_lodging_Frances,500,cgan,7
0.04380074143409729,0.0033720284700393677,0.05806916970337502,10.002920776605606,0.8406979441642761,Fox_lodging_Frances,500,CDDM,10
0.03282797500491142,0.002111414145678282,0.04578005150300851,8.167188942432404,0.8530099391937256,Fox_lodging_Frances,500,ours,15
