MAE,MSE,RMSE,MAPE,R2,Building,Sparsity,Method,Epochs,MAPE_original
0.0905167087912559,0.0144959380850195,0.120399078422634,20.809812307357788,0.1483114361763,Fox_lodging_Frances,300,Real Data,4,20.809812307357788
0.0888856696486473,0.0137281129136681,0.1171670299771576,17.1453537940979,0.1934239268302917,Fox_lodging_Frances,100,TIMEGAN,7,17.1453537940979
0.0878036543726921,0.0116686848923563,0.1080216871390018,15.955391228199003,0.3144227266311645,Fox_lodging_Frances,100,CGAN,7,15.955391228199003
0.0596377439796924,0.0063466322608292,0.0796657533751436,11.72512024641037,0.6271125078201294,Fox_lodging_Frances,100,CDDM,10,11.72512024641037
0.0395706705749034,0.0028360688593238,0.0532547543354005,9.525931626558304,0.8333707451820374,Fox_lodging_Frances,300,OURS,15,9.525931626558304
0.1100003123283386,0.020569622516632,0.1434211369242068,22.30246663093567,-0.0791281461715698,Fox_lodging_Frances,100,Real Data,5,22.30246663093567
0.0713557973504066,0.007853795774281,0.0886216439380416,16.663703322410583,0.5879724025726318,Fox_lodging_Frances,300,TIMEGAN,7,16.663703322410583
0.0613323934376239,0.0061107734218239,0.078171436099281,15.051208436489103,0.679415225982666,Fox_lodging_Frances,300,CGAN,7,15.051208436489103
0.0562803691625595,0.0058047116249799,0.0716823445159145,13.998425841331482,0.8003963828086853,Fox_lodging_Frances,300,CDDM,10,13.998425841331482
0.0457461727261543,0.0041148726560175,0.0630553734886254,10.45475772023201,0.8523254990577698,Fox_lodging_Frances,100,OURS,15,10.45475772023201
0.0865942314267158,0.0118548916652798,0.1088801711299163,19.791138172149655,0.4399487972259521,Fox_lodging_Frances,500,Real Data,5,19.791138172149655
0.0453439354896545,0.0037636265624314,0.0613484030960175,10.775045305490494,0.8221979737281799,Fox_lodging_Frances,500,TIMEGAN,7,10.775045305490494
0.0510782562196254,0.0044946679845452,0.0670422850486559,12.334459275007248,0.7876619696617126,Fox_lodging_Frances,500,CGAN,7,12.334459275007248
0.0438007414340972,0.0033720284700393,0.058069169703375,10.002920776605606,0.8406979441642761,Fox_lodging_Frances,500,CDDM,10,10.002920776605606
0.0328279750049114,0.0021114141456782,0.0457800515030085,8.167188942432404,0.8530099391937256,Fox_lodging_Frances,500,OURS,15,8.167188942432404
