MAE,MSE,RMSE,MAPE,R2,Building,Sparsity,Method,Epochs
0.0041594715,2.4873152e-05,0.004987299,0.004159471485763788,0.0,Bobcat_warehouse_Charlie_start4000_2160,20,oridata,2
0.0017093566,4.628132e-06,0.0021513093,0.0017093565547838807,0.0,Bobcat_warehouse_Charlie_start4000_2160,20,wgan,2
0.013862064,0.00019300627,0.01389267,0.013862064108252525,0.0,Bobcat_warehouse_Charlie_start4000_2160,20,diffts,2
0.012076635,0.0001461158,0.012087837,0.012076634913682938,0.0,Bobcat_warehouse_Charlie_start4000_2160,20,diffts-fft,5
0.00024991776,1.0072437e-07,0.00031737104,0.0002499177644494921,0.0,Bobcat_warehouse_Charlie_start4000_2160,20,timegan,2
0.002277766,8.323364e-06,0.002885024,0.002277765888720751,0.0,Bobcat_warehouse_Charlie_start4000_2160,20,cgan,2
0.0038971498,1.7817256e-05,0.004221049,0.0038971498142927885,0.0,Bobcat_warehouse_Charlie_start4000_2160,30,oridata,2
0.0049697543,3.70901e-05,0.006090164,0.004969754256308079,0.0,Bobcat_warehouse_Charlie_start4000_2160,30,wgan,2
0.015984004,0.000262254,0.016194258,0.015984004363417625,0.0,Bobcat_warehouse_Charlie_start4000_2160,30,diffts,2
0.01372661,0.00018853716,0.013730884,0.013726609759032726,0.0,Bobcat_warehouse_Charlie_start4000_2160,30,diffts-fft,5
0.0018668718,5.068179e-06,0.0022512616,0.0018668718403205276,0.0,Bobcat_warehouse_Charlie_start4000_2160,30,timegan,2
0.0005588408,5.109161e-07,0.00071478396,0.0005588408093899488,0.0,Bobcat_warehouse_Charlie_start4000_2160,30,cgan,2
0.004162969,2.4691473e-05,0.0049690516,0.004162969067692757,0.0,Bobcat_warehouse_Charlie_start4000_2160,40,oridata,2
0.005073297,3.8445567e-05,0.006200449,0.0050732968375086784,0.0,Bobcat_warehouse_Charlie_start4000_2160,40,wgan,2
0.013615539,0.00018756908,0.0136955865,0.01361553929746151,0.0,Bobcat_warehouse_Charlie_start4000_2160,40,diffts,2
0.014053855,0.00020033978,0.014154144,0.01405385509133339,0.0,Bobcat_warehouse_Charlie_start4000_2160,40,diffts-fft,5
0.00020228488,6.565152e-08,0.00025622552,0.00020228487846907228,0.0,Bobcat_warehouse_Charlie_start4000_2160,40,timegan,2
0.0014760309,3.382018e-06,0.0018390263,0.001476030913181603,0.0,Bobcat_warehouse_Charlie_start4000_2160,40,cgan,2
0.0012290579,1.7520817e-06,0.0013236622,0.0012290579034015536,0.0,Bobcat_warehouse_Charlie_start4000_2160,50,oridata,2
0.001022453,1.7239182e-06,0.0013129807,0.0010224529542028904,0.0,Bobcat_warehouse_Charlie_start4000_2160,50,wgan,2
0.01522971,0.00023388948,0.015293445,0.015229710377752781,0.0,Bobcat_warehouse_Charlie_start4000_2160,50,diffts,2
0.013184254,0.00017388478,0.013186538,0.013184254057705402,0.0,Bobcat_warehouse_Charlie_start4000_2160,50,diffts-fft,5
0.001593076,4.244182e-06,0.0020601412,0.0015930760418996215,0.0,Bobcat_warehouse_Charlie_start4000_2160,50,timegan,2
0.0028899568,1.297624e-05,0.003602255,0.0028899568133056164,0.0,Bobcat_warehouse_Charlie_start4000_2160,50,cgan,2
0.0029577476,1.36663875e-05,0.0036968077,0.0029577475506812334,0.0,Bobcat_warehouse_Charlie_start4000_2160,70,oridata,2
0.0026716336,1.2018723e-05,0.003466803,0.0026716336142271757,0.0,Bobcat_warehouse_Charlie_start4000_2160,70,wgan,2
0.012662849,0.00016454444,0.012827488,0.012662849389016628,0.0,Bobcat_warehouse_Charlie_start4000_2160,70,diffts,2
0.011690621,0.00013769483,0.011734344,0.011690621264278889,0.0,Bobcat_warehouse_Charlie_start4000_2160,70,diffts-fft,5
0.00029925042,1.4924781e-07,0.00038632605,0.00029925041599199176,0.0,Bobcat_warehouse_Charlie_start4000_2160,70,timegan,2
0.00092159334,1.3552301e-06,0.0011641436,0.0009215933387167752,0.0,Bobcat_warehouse_Charlie_start4000_2160,70,cgan,2
0.0034574787,1.9135576e-05,0.004374423,0.0034574787132441998,0.0,Bobcat_warehouse_Charlie_start4000_2160,80,oridata,2
0.0032453085,1.6471813e-05,0.0040585482,0.0032453085295856,0.0,Bobcat_warehouse_Charlie_start4000_2160,80,wgan,2
0.013795491,0.00019088165,0.0138159925,0.013795491307973862,0.0,Bobcat_warehouse_Charlie_start4000_2160,80,diffts,2
0.011768059,0.00013871862,0.011777887,0.011768058873713017,0.0,Bobcat_warehouse_Charlie_start4000_2160,80,diffts-fft,5
0.0017746917,4.7190356e-06,0.0021723341,0.0017746917437762022,0.0,Bobcat_warehouse_Charlie_start4000_2160,80,timegan,2
0.0010239176,1.7311113e-06,0.001315717,0.001023917575366795,0.0,Bobcat_warehouse_Charlie_start4000_2160,80,cgan,2
0.0015243992,3.2744713e-06,0.00180955,0.0015243991510942578,0.0,Bobcat_warehouse_Charlie_start4000_2160,90,oridata,2
0.00056251744,5.219128e-07,0.0007224353,0.0005625174380838871,0.0,Bobcat_warehouse_Charlie_start4000_2160,90,wgan,2
0.010331785,0.000114969145,0.010722366,0.010331785306334496,0.0,Bobcat_warehouse_Charlie_start4000_2160,90,diffts,2
0.012904031,0.00016739212,0.0129380105,0.012904031202197075,0.0,Bobcat_warehouse_Charlie_start4000_2160,90,diffts-fft,5
0.00035618796,1.8508196e-07,0.00043021154,0.00035618795664049685,0.0,Bobcat_warehouse_Charlie_start4000_2160,90,timegan,2
